Item,Note,W_lb,KG_ft,VM_ft_lb,LCG_ft,LM_ft_lb,TCG_ft,TM_ft_lb
LIGHTSHIP,CTR,425.0,1.0,425.0,0.0,0.0,0.0,0.0
WEIGHTED KEEL (FWD),CTR,500.0,-2.0,-1000.0,0.0,0.0,0.0,0.0
MOTOR,CTR,145.0,1.5,217.5,-1.08,-156.60000000000002,0.0,0.0
CONNING TOWER,CTR,40.0,3.5,140.0,-1.08,-43.2,0.0,0.0
ELECTRONICS,PORT,10.0,7.125,71.25,-1.08,-10.8,0.0,0.0
BATTERY,STBD,20.85,0.583,12.15555,3.083,64.28055,0.0,0.0
GAS TANK,STBD,33.92,0.583,19.77536,3.833,130.01536000000002,0.0,0.0
DIVING PLANE FRONT,STBD,3.1,1.0,3.1,7.5,23.25,0.0,0.0
DIVING PLANE BACK,STBD,3.1,1.0,3.1,-7.5,-23.25,0.0,0.0
RUDDER BACK,STBD,3.1,1.0,3.1,-8.542,-26.4802,0.0,0.0
RUDDER FRONT,STBD,3.1,1.0,3.1,8.583,26.607300000000002,0.0,0.0
SERVO+BOX+OIL FRONT,STBD,20.1,1.0,20.1,7.5,150.75,0.0,0.0
SERVO+BOX+OIL BACK,STBD,20.1,1.0,20.1,-7.5,-150.75,0.0,0.0
SERVO+BOX+OIL RUDDER FRONT,STBD,20.1,1.0,20.1,8.583,172.5183,0.0,0.0
SERVO+BOX+OIL RUDDER BACK,STBD,20.1,1.0,20.1,-8.542,-171.6942,0.0,0.0
